Progress,Duration (in seconds),Finished,QID2,QID3,QID4,QID5_1,QID5_2,QID5_3,QID5_4,QID5_5,QID5_6,QID5_7,QID5_8,1_,1_.1,1_QID14_1,1_QID22_1,1_QID22_2,1_QID22_3,1_QID22_4,1_QID22_5,1_QID22_6,1_QID22_7,1_QID22_8,1_QID22_9,1_QID25_1,1_QID25_2,1_QID25_3,1_QID25_4,1_QID25_5,1_QID25_6,1__1,1__2,1__3,1__4,1_.2,1_.3,1_.4,2_,2_.1,2_QID14_1,2_QID22_1,2_QID22_2,2_QID22_3,2_QID22_4,2_QID22_5,2_QID22_6,2_QID22_7,2_QID22_8,2_QID22_9,2_QID25_1,2_QID25_2,2_QID25_3,2_QID25_4,2_QID25_5,2_QID25_6,2__1,2__2,2__3,2__4,2_.2,2_.3,2_.4,3_,3_.1,3_QID14_1,3_QID22_1,3_QID22_2,3_QID22_3,3_QID22_4,3_QID22_5,3_QID22_6,3_QID22_7,3_QID22_8,3_QID22_9,3_QID25_1,3_QID25_2,3_QID25_3,3_QID25_4,3_QID25_5,3_QID25_6,3__1,3__2,3__3,3__4,3_.2,3_.3,3_.4,4_,4_.1,4_QID14_1,4_QID22_1,4_QID22_2,4_QID22_3,4_QID22_4,4_QID22_5,4_QID22_6,4_QID22_7,4_QID22_8,4_QID22_9,4_QID25_1,4_QID25_2,4_QID25_3,4_QID25_4,4_QID25_5,4_QID25_6,4__1,4__2,4__3,4__4,4_.2,4_.3,4_.4,5_,5_.1,5_QID14_1,5_QID22_1,5_QID22_2,5_QID22_3,5_QID22_4,5_QID22_5,5_QID22_6,5_QID22_7,5_QID22_8,5_QID22_9,5_QID25_1,5_QID25_2,5_QID25_3,5_QID25_4,5_QID25_5,5_QID25_6,5__1,5__2,5__3,5__4,5_.2,5_.3,5_.4,6_,6_.1,6_QID14_1,6_QID22_1,6_QID22_2,6_QID22_3,6_QID22_4,6_QID22_5,6_QID22_6,6_QID22_7,6_QID22_8,6_QID22_9,6_QID25_1,6_QID25_2,6_QID25_3,6_QID25_4,6_QID25_5,6_QID25_6,6__1,6__2,6__3,6__4,6_.2,6_.3,6_.4,7_,7_.1,7_QID14_1,7_QID22_1,7_QID22_2,7_QID22_3,7_QID22_4,7_QID22_5,7_QID22_6,7_QID22_7,7_QID22_8,7_QID22_9,7_QID25_1,7_QID25_2,7_QID25_3,7_QID25_4,7_QID25_5,7_QID25_6,7__1,7__2,7__3,7__4,7_.2,7_.3,7_.4,8_,8_.1,8_QID14_1,8_QID22_1,8_QID22_2,8_QID22_3,8_QID22_4,8_QID22_5,8_QID22_6,8_QID22_7,8_QID22_8,8_QID22_9,8_QID25_1,8_QID25_2,8_QID25_3,8_QID25_4,8_QID25_5,8_QID25_6,8__1,8__2,8__3,8__4,8_.2,8_.3,8_.4,QID15,QID16,QID17
100,363,True,Consultant / Business Professional,Saudi Arabia,Weekly,OpenAI (ChatGPT),,,,xAI (Grok),DeepSeek,,,Yes,12–18 months,Somewhat dissatisfied,4,3,4,4,3,3,5,3,3,3,4,4,4,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Extremely satisfied,5,5,3,3,4,4,4,3,3,3,4,5,5,5,5,Free,,,,,No,,No,6–12 months,Somewhat satisfied,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old data for financial analysis,Financial markets analysis and data
100,359,True,Student,Pakistan,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),Meta (Llama),xAI (Grok),DeepSeek,"Mistral AI (Mistral Medium, Le Chat)",,Yes,More than 18 months,Extremely satisfied,3,5,2,4,2,5,5,1,3,2,2,5,5,3,3,Free,,,,,No,,No,6–12 months,Neither satisfied nor dissatisfied,2,5,4,3,2,4,5,1,1,3,,,,,,Free,,,,,No,,No,12–18 months,Somewhat satisfied,4,4,4,4,3,3,2,5,3,3,3,5,3,3,2,,Paid individual,,,Switch model,No,,No,1–3 months,Extremely dissatisfied,4,1,3,2,2,1,1,1,2,2,1,1,1,1,1,Free,,,,,No,,No,3–6 months,Somewhat satisfied,4,4,3,3,5,3,2,1,4,2,2,3,3,2,4,Free,,,,,No,,No,3–6 months,Somewhat satisfied,5,5,3,3,2,4,5,1,3,2,2,3,4,3,3,Free,,,,,No,,No,Less than 1 month,Extremely dissatisfied,1,1,1,1,1,1,1,1,1,,,,,,,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,396,True,Student,Pakistan ,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,Yes,6–12 months,Extremely satisfied,5,4,4,5,5,5,5,1,3,3,4,4,4,4,4,,Paid individual,,,Keep plan,No,,No,1–3 months,Somewhat satisfied,2,4,2,2,4,3,1,1,3,3,3,4,4,1,3,Free,,,,,No,,No,3–6 months,Somewhat satisfied,5,4,4,4,4,3,3,5,3,3,4,4,1,4,4,,,,Unsure,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handles diverse queries.,Not understanding the context completely ,A better interactive study mode for making learning resources more digestible and answer specific queries within pdfs/slide decks
100,2347,True,Student,USA,Daily or almost daily,OpenAI (ChatGPT),,,,,,,,Yes,12–18 months,Somewhat satisfied,3,3,5,4,3,3,3,1,3,4,4,4,4,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Step by step answers,Sometimes i have to repeat the prompts,Unlimited pdf inputs
100,217,True,Student,Pakistan,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,,,,Yes,More than 18 months,Somewhat satisfied,2,2,5,4,5,5,5,1,5,3,2,4,4,4,4,,Paid individual,,,Switch model,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Less than 1 month,Extremely satisfied,2,2,5,2,3,2,4,2,2,4,2,2,2,2,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gives answers in an organized manner and understands what i want,They act dumb sometimes so you have to ask the same question multiple times in different ways to get desired answer,Better quality Image generation 
100,280,True,Student,Pakistan ,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,,,,Yes,More than 18 months,Somewhat satisfied,4,4,3,4,3,4,4,2,4,4,5,5,5,4,4,,Paid individual,,,Keep plan,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Neither satisfied nor dissatisfied,4,3,3,3,3,3,2,2,4,3,3,4,3,2,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It provides better analytical output compared to other LLMs,Halucinations ,Video generation
100,247,True,Student,pakistan,Daily or almost daily,OpenAI (ChatGPT),,,,,DeepSeek,,,Yes,More than 18 months,Somewhat satisfied,4,3,1,4,5,5,5,4,2,3,4,5,2,2,1,,Paid individual,,,Keep plan,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Less than 1 month,Somewhat satisfied,1,5,3,3,4,3,4,1,3,2,3,3,3,2,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doing analytical questions ,it gives wrong answers while doing quant section and moreover when asked to explain a topic just gives an overview ,
100,172,True,Student,Pakistan ,Daily or almost daily,OpenAI (ChatGPT),,,,,,,,Yes,1–3 months,Somewhat satisfied,4,4,4,4,4,4,4,1,3,4,5,4,4,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sometimes the answers are wrong ,
100,851,True,Consultant / Business Professional,Pakistan ,Monthly,OpenAI (ChatGPT),,,,,,,,Yes,More than 18 months,Somewhat satisfied,2,3,1,2,4,5,2,1,1,1,3,4,3,4,4,,Paid individual,,,Keep plan,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haven’t tried others,"In longer conversations, models may forget context, change tone, or misinterpret subtle instruction changes. They forget earlier instructions as well and you have to keep repeating them in the same conversation.","True long-term context awareness (or long-term memory) would be incredibly useful. Even if it isn’t as deeply integrated as human memory, there should still be some level of continuity across conversations. That way, I could work on long-term projects without having to re-explain everything from scratch or repeat instructions just to get back to where I left off."
100,505,True,Other (please specify),Pakistan ,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,No,More than 18 months,Somewhat satisfied,4,3,3,5,5,4,4,1,4,4,5,5,4,5,3,,,Paid team/enterprise,,Switch model,No,,Yes,3–6 months,Extremely satisfied,5,5,4,5,5,5,5,1,4,5,5,5,5,5,4,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),No,6–12 months,Somewhat satisfied,4,5,3,4,5,5,5,1,4,3,5,4,3,5,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude gives the exact responses and follows prompt better than the other models. 
The formats it provides and the User interface is also better. In terms of analytical tasks or workflows generation, it is way better than others",Unnecessary emoticons in every document.,Claude free model doesn't allow editing the documents created and lesser free credits.
100,401,True,Consultant / Business Professional,Pakistan ,Daily or almost daily,,Anthropic (Claude),Google (Gemini),,xAI (Grok),,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,12–18 months,Somewhat satisfied,3,4,4,4,3,5,2,1,4,3,4,3,5,4,4,,Paid individual,,,Switch model,Yes,OpenAI (ChatGPT/GPT-5),Yes,6–12 months,Somewhat satisfied,5,4,3,4,3,4,1,3,3,3,4,5,2,4,3,,Paid individual,,,Switch model,Yes,Other (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Somewhat satisfied,4,4,4,4,4,4,3,1,3,4,4,3,1,1,1,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep research on Gemini ,Calculations,Number/ spreadsheet crunching
100,3852,True,Data Analyst / Data Scientist,Germany,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,,,,Yes,More than 18 months,Extremely satisfied,4,4,3,5,5,4,4,1,4,5,5,5,3,4,4,,Paid individual,Paid team/enterprise,,Downgrade,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Less than 1 month,Somewhat satisfied,4,4,4,4,4,3,4,5,4,5,5,5,3,4,4,,,Paid team/enterprise,,Keep plan,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detailed responses especially when it comes to research. Easy integration with Visual Studio for coding,Hallucinations. Models unable to connect logic between tables/code,Better and faster complex visualisations for the provided data. Visualisations are not always accurate 
100,281,True,Consultant / Business Professional,UAE,Daily or almost daily,OpenAI (ChatGPT),,,,,DeepSeek,,,Yes,More than 18 months,Somewhat satisfied,2,2,2,4,4,3,4,1,1,2,2,3,2,3,2,Free,,Paid team/enterprise,,Switch model,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1–3 months,Extremely satisfied,1,5,1,4,4,5,5,1,1,1,2,4,4,4,4,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Technical research for business development purposes, seeks out information about upcoming/announced projects in the O&G sector, highly accurate as compared to chatgpt, faster response speed, understands my commands.","chatgpt - info can be missed, doesn't save my history/preferences for some reason, have to explain everything to it and it will still make mistakes"," wish chatgpt was less of a sycophant - always seems to agree with you, even when you're wrong"
100,4689,True,Consultant / Business Professional,Pakistan,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),,,,,,,No,6–12 months,Somewhat dissatisfied,3,2,3,3,2,4,2,2,2,2,4,3,2,3,2,Free,,,,,No,,Yes,6–12 months,Somewhat satisfied,3,3,3,4,4,3,4,3,3,3,4,4,3,3,3,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,334,True,Student,Pakistan,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,DeepSeek,,,Yes,More than 18 months,Extremely satisfied,4,4,4,5,4,4,4,1,3,4,4,4,4,4,4,,,Paid team/enterprise,,Keep plan,No,,No,12–18 months,Extremely satisfied,5,5,1,5,5,5,5,1,5,2,3,3,4,4,4,Free,,,,,No,,No,Less than 1 month,Neither satisfied nor dissatisfied,1,2,4,4,4,2,3,1,3,3,3,2,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,6–12 months,Somewhat satisfied,4,3,1,4,4,4,4,1,4,2,3,4,4,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has the capability to understand tasks well and execute the prompts promptly ,when they get stuck in circular reasoning. Or give you “fixes” that are already implemented. They don’t say “i don’t know” or stuff rather just spit unnecessary stuff ,Better at maths or reasoning questions ig
100,333,True,Student,United Kingdom ,Rarely (a few times),OpenAI (ChatGPT),,,,,DeepSeek,,,Yes,More than 18 months,Somewhat satisfied,4,4,4,1,5,4,4,1,3,1,4,5,2,2,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Less than 1 month,Neither satisfied nor dissatisfied,1,4,4,2,4,4,5,1,3,1,4,5,3,2,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing it does particularly special but is extremely useful,Can feel frustrating to use at times when the responses feel inadequate or irrelevant to what was asked,Faster responses 
100,229,True,Student,Pakistan,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),Meta (Llama),xAI (Grok),,,,Yes,More than 18 months,Extremely satisfied,5,5,5,5,2,4,5,1,1,3,5,5,3,2,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Somewhat satisfied,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,Free,,,,,No,,No,3–6 months,Neither satisfied nor dissatisfied,3,3,4,5,5,2,2,1,1,1,4,5,3,2,2,Free,,,,,No,,No,Less than 1 month,Somewhat satisfied,1,3,3,3,3,3,2,3,3,3,3,3,4,2,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"open ai has the best UI as compared to its counterparts, as well as keeping my previous chats in mind while generating responses",waiting time,better wait time
100,843,True,Developer / Software Engineer,USA,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),,,,,,,Yes,More than 18 months,Somewhat satisfied,4,4,2,3,4,4,5,1,3,4,5,4,4,4,4,,Paid individual,,,Keep plan,No,,No,12–18 months,Somewhat satisfied,4,4,2,2,4,4,5,1,4,3,4,4,3,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web search ,"Lack of original content meaning they cheat. For example if I ask for ideas for naming a company with some background information regarding the company, they would suggest very good names but then I will find out later that they were all names of actual companies. ","it should tell you which sources in the training data contributed to the information it is giving you. E.g if I ask it for a marketing strategy, it should give some general ( not specific ) information on what kind of training data contributed to this type of information "
100,371,True,Student,Pakistan ,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),Meta (Llama),,,,,Yes,12–18 months,Somewhat satisfied,3,4,5,4,4,5,5,2,2,4,3,5,5,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,6–12 months,Extremely satisfied,5,5,5,4,4,4,4,4,2,4,3,5,5,2,3,Free,,,,,No,,No,3–6 months,Neither satisfied nor dissatisfied,3,3,5,3,3,3,2,2,2,3,2,4,4,3,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Give detailed responses,Inaccuracy,Lift live data from the web
100,127,True,Student,Pakistan,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,,,,Yes,More than 18 months,Extremely satisfied,3,5,3,4,3,5,5,0,4,4,5,5,4,4,5,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Less than 1 month,Extremely satisfied,5,4,5,5,5,4,3,4,4,5,5,5,4,4,5,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"accurate answers, gives answers that i want",longer processing speeds,better image generating 
100,1070,True,Developer / Software Engineer,Pakistan,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),Meta (Llama),xAI (Grok),DeepSeek,,,Yes,12–18 months,Somewhat satisfied,4,4,2,3,4,4,4,3,4,4,5,5,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,6–12 months,Somewhat satisfied,4,4,5,5,4,4,4,4,4,5,5,5,4,4,3,,,Paid team/enterprise,,Switch model,Yes,OpenAI (ChatGPT/GPT-5),No,3–6 months,Neither satisfied nor dissatisfied,3,3,2,2,4,3,3,3,3,2,2,2,2,2,2,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),No,6–12 months,Somewhat satisfied,2,3,3,3,4,3,3,2,3,3,3,4,4,4,4,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),No,6–12 months,Somewhat satisfied,2,3,2,2,3,3,3,2,2,2,3,2,2,2,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speed and well-structure approach according to scenarios professional type,If you are asked the same thing over and over again it makes the error worse rather than correcting it.,Offline mode and local use the model without needing the internet. 
100,279,True,Student,Pakistan,Daily or almost daily,OpenAI (ChatGPT),,,,,,,,Yes,More than 18 months,Extremely satisfied,3,3,5,2,5,3,5,5,5,5,5,5,5,3,3,Free,,,,,Yes,Google (Gemini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grok,Model lag in memorizing past work,making humanize content
100,1934,True,Developer / Software Engineer,Pakistan,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,,,,Yes,12–18 months,Somewhat satisfied,3,3,3,4,4,3,4,3,3,4,4,4,4,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Somewhat satisfied,3,3,4,4,5,3,3,3,3,3,3,3,4,3,4,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helps me write more efficient code with minimal errors.,When they get stuck in a loop and keeps giving the same answer,More free credits
100,249,True,Developer / Software Engineer,United states,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,No,12–18 months,Somewhat satisfied,3,4,2,4,4,3,5,1,2,4,4,4,2,4,3,,,Paid team/enterprise,,Switch model,No,,Yes,6–12 months,Somewhat satisfied,2,3,1,3,4,5,5,1,1,2,3,3,5,4,3,,,Paid team/enterprise,,Keep plan,No,,No,1–3 months,Somewhat satisfied,5,2,5,3,4,3,3,1,1,2,4,5,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical tasks like coding,Hallucinations ,Follow guard rails better 
100,277,True,Developer / Software Engineer,Germany,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,Yes,More than 18 months,Extremely satisfied,5,5,3,5,5,5,5,1,2,4,3,4,4,4,4,,Paid individual,,,Keep plan,No,,No,6–12 months,Extremely satisfied,1,4,1,1,3,5,5,5,1,3,4,4,5,3,3,,,Paid team/enterprise,,Keep plan,No,,No,3–6 months,Somewhat dissatisfied,1,3,4,1,3,1,3,5,2,3,3,1,1,1,1,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude, better for code generation.",Waiting for responses.,Was better at coding (ChatGPT) 
100,182,True,Other (please specify),Germany,Daily or almost daily,OpenAI (ChatGPT),,,,,,,,Yes,6–12 months,Somewhat satisfied,4,3,2,4,3,3,4,1,2,4,5,3,3,4,4,Free,Paid individual,,,Downgrade,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reply drafting,Halucenation  ,Deeper reseach capability
100,434,True,Developer / Software Engineer,Country,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),Meta (Llama),,DeepSeek,,,Yes,More than 18 months,Extremely satisfied,5,4,4,5,4,5,4,1,3,3,5,5,5,4,5,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,12–18 months,Neither satisfied nor dissatisfied,3,3,3,5,4,4,2,1,5,3,3,4,3,3,3,,,Paid team/enterprise,,Switch model,No,,No,6–12 months,Neither satisfied nor dissatisfied,3,3,2,3,3,2,1,1,3,1,2,2,1,2,1,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Neither satisfied nor dissatisfied,3,4,1,1,1,4,5,1,1,1,3,5,3,1,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I wish Gemini could code as good as other models like GPT as I only have Gemini as my enterprise model,Variability of suggested code,Robust connectivity via a unified API
100,153,True,Other (please specify),Germany,Daily or almost daily,OpenAI (ChatGPT),,,,,,,,Yes,6–12 months,Somewhat satisfied,1,1,3,5,2,3,1,1,3,3,4,4,5,3,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hallucinations ,Memory
100,603,True,Consultant / Business Professional,United Kingdom,Daily or almost daily,OpenAI (ChatGPT),,,,xAI (Grok),DeepSeek,,Other (please specify),Yes,More than 18 months,Extremely satisfied,2,4,3,5,5,5,4,3,3,4,4,3,5,4,5,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1–3 months,Somewhat satisfied,3,3,3,4,4,3,2,1,3,3,3,5,3,3,3,Free,,,,,No,,No,Less than 1 month,Neither satisfied nor dissatisfied,3,3,3,4,3,3,3,1,3,3,3,3,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6–12 months,Extremely satisfied,5,5,2,3,4,5,4,5,3,5,5,5,3,4,5,,Paid individual,,,Stop using,Yes,OpenAI (ChatGPT/GPT-5),"The deep research feature is extremely good and it has very good sources. Plus you can control the sources between web, financial docs, social forums, or research publications which really helps.",When AI hallucinates.,Image generation.
100,285,True,Developer / Software Engineer,USA,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,DeepSeek,,,Yes,12–18 months,Somewhat satisfied,4,4,4,5,4,4,4,5,4,4,5,5,5,5,5,,Paid individual,,,Downgrade,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3–6 months,,3,3,3,3,3,3,3,3,3,,,,,,,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3–6 months,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easy to use interface, accuracy
","slower responses or repeating same things
","Create live projects 
"
